ID: 6383125515 | Username: No username | Name: 🎁حمزه امارتی 💕💕
ID: 6384333518 | Username: tmt421 | Name: TMT 
ID: 6666936029 | Username: No username | Name: Hamdard Lala
ID: 8404894434 | Username: No username | Name: Sultan Faqiri
ID: 6103583464 | Username: No username | Name: سرحدي شاهین لوی باغی☝
ID: 1017255156 | Username: Essasafi | Name: EssaⓂ️ MEMES🍅 🌱SEED 🧑🏻‍💻 $GEEKS
ID: 7963964661 | Username: No username | Name: اخترالله 
ID: 7057994998 | Username: No username | Name: Attaullah Yaqoobi
ID: 6448787704 | Username: No username | Name: Вахдат 
ID: 6276591356 | Username: No username | Name: شاه محمد راشد
ID: 6783154948 | Username: No username | Name: A R zooo
ID: 6746976518 | Username: No username | Name: Shakirullah 
ID: 7478385428 | Username: No username | Name: Sami Lalai
ID: 1778638100 | Username: No username | Name: Ihsan 
ID: 6022244121 | Username: No username | Name: fahim ullah sahak
ID: 6903787291 | Username: No username | Name: Wajid 
ID: 6112313629 | Username: No username | Name: Mir Gul Mutaqi
ID: 6110493985 | Username: wakeelkhan3409 | Name: AB WAKEEL
ID: 5125483810 | Username: NajibullahAnwariOfficial | Name: Najibullah Anwari
ID: 5690668327 | Username: Wx_mafia | Name: Mr Mafia
ID: 7571289897 | Username: No username | Name: Ahmad Hilal
ID: 7354909488 | Username: No username | Name: Mansoor rahman
ID: 7403815735 | Username: Broken_zwan | Name: ❤️‍🩹. ☺️ 
ID: 5022232888 | Username: No username | Name: gul Mohammad Azizi Gul M Azizi
ID: 1031165765 | Username: No username | Name: Sardarwali hamdard
ID: 5357778245 | Username: No username | Name: Aryan Khan
ID: 6770736974 | Username: No username | Name: ꧁RٜᷢAٜⷶHٜⷩMٜᷟAٜⷶNٜᷡYٜꙷ꧂ Khan
ID: 6774120270 | Username: No username | Name: Your Janoooo
ID: 894293841 | Username: Nazeerjalili | Name: 𝕸.𝕹𝖆𝖟𝖊𝖊𝖗 𝕵𝖆𝖑𝖎𝖑𝖎
ID: 6659797848 | Username: No username | Name: ABASIN 
ID: 1801236825 | Username: MubarizYoung | Name: HaJi MoHaMMaDجان❤️🤪 
ID: 8368264024 | Username: No username | Name: Shamshad Shaheen
ID: 7106131300 | Username: No username | Name: Hazratullah Gowhar
ID: 5096317288 | Username: Noormalik_Shinwari | Name: Noor Malik Shinwari
ID: 8162214761 | Username: No username | Name: Sta Nikza
ID: 1083914092 | Username: farahi033 | Name: S 🐾
ID: 1586349422 | Username: No username | Name: Noor 
ID: 6707228529 | Username: fyfh3 | Name: Zakir Zahien
ID: 5400203126 | Username: Q_u_2_2_2 | Name: 🆓دسينمانړۍ🎦 💔Sada-Halak🤐
ID: 7849622392 | Username: No username | Name: Shamali Khan
ID: 7159334781 | Username: No username | Name: TMT 
ID: 7947067263 | Username: ffgbbvgghhh | Name: للللل ااتتا
ID: 6843511679 | Username: No username | Name: rohani bibi
ID: 7191091590 | Username: Fazal_Af | Name: Fazloo🇦🇫👑 
ID: 6169814922 | Username: No username | Name: B 
ID: 8438416783 | Username: No username | Name: Mazamil Safi
ID: 5064463779 | Username: No username | Name: Rahmat Ullah Babozai
ID: 8133375395 | Username: Snsmsmsbd | Name: ZYAR 
ID: 5267109297 | Username: Hekmatullah1377 | Name: Web Developer
ID: 1232932790 | Username: No username | Name: Bacha G
ID: 6970944457 | Username: Arsalann5 | Name: 𝙴𝙳𝚁𝙸𝚂 𝙰𝚁𝚂𝙰𝙻𝙰𝙽 
ID: 967743947 | Username: No username | Name: EsMat Amini
ID: 7136210894 | Username: Sada1019 | Name: Sada 1019
ID: 5526984146 | Username: Afghan786A2827 | Name: Salim 
ID: 5106848724 | Username: No username | Name: Haroon 
ID: 7806988772 | Username: Alone689986 | Name: Alone No
ID: 946372070 | Username: khan_167 | Name: ╰🇲‌🇺‌🇸‌🇹‌🇦‌🇫‌🇦‌╮ 
ID: 7968669674 | Username: No username | Name: Haroon KhAn
ID: 8069886958 | Username: No username | Name: سحر سحر
ID: 1867367922 | Username: ejaaz_8 | Name: Ejaaz🌱 
ID: 1107836411 | Username: shahzada02 | Name: 𝚂𝚑𝚊𝚑𝚣𝚊𝚍𝚊 𝙼𝚊𝚜𝚝𝚊𝚗
